name,star,comment,class,address,latitude,longitude,bus_count,department_store_count,drink_count,hospital_count,movie_theater_count,MRT_count,night_market_count,park_count,school_count,sports_facilities_count,train_count
紅仔標-土城永寧店,4.5,2,無酒精飲料店,新北市土城區中央路三段92-2號,24.9670401,121.4360925,45,0,13,1,0,1,0,9,3,3,0
丹丹手作冰品。丹丹冰,4.9,109,冰品飲料店,新北市土城區延吉街291巷13號,24.984106,121.4672044,56,1,50,0,0,0,0,18,3,3,0
李記古味紅茶冰（土城延吉店）,4.5,11,冰品飲料店,新北市土城區延吉街310號,24.9841279,121.4639828,73,1,57,1,0,0,0,23,4,10,0
台灣ㄟ茶-延和店,4.7,3,茶葉店,新北市土城區延和路62巷2號1樓,24.9887616,121.4657905,79,2,56,0,0,0,0,16,3,11,0
禾夏茶作,5.0,4,冰品飲料店,新北市土城區延和路242號,24.9898815,121.4695889,57,0,48,0,0,0,0,9,4,3,0
全祥茶莊 土城區,4.6,9,茶葉店,新北市土城區延壽路15號一樓,24.9905422,121.4711648,46,0,46,0,0,0,0,8,4,3,0
老賴茶棧土城學府店,3.6,134,冰品飲料店,沒有地址,24.9847749,121.4521424,72,2,64,2,1,1,0,25,4,12,0
CoCo都可 板橋重慶店,4.0,218,冰品飲料店,新北市板橋區重慶路179號,25.0024608,121.4627732,100,19,116,3,1,1,1,25,3,10,0
亞東,3.6,96,冰品飲料店,新北市板橋區南雅南路二段1號,25.0029997,121.4546774,85,8,107,4,2,2,1,18,7,15,0
伊莉莎白紅茶書房-土城延和殿,3.8,40,冰品飲料店,新北市土城區延和路242號,24.9898815,121.4695889,57,0,48,0,0,0,0,9,4,3,0
春和茶水攤-土城中央店,5.0,1,冰品飲料店,新北市土城區中央路一段250巷1號1 樓,24.9846149,121.4441182,46,1,56,1,1,1,0,17,3,1,0
耕心園茶飲店,4.0,592,冰品飲料店,新北市板橋區裕民街49號,25.0284589,121.4612475,55,1,79,1,0,2,1,15,5,18,0
日日裝茶-板橋文化店| 飲料外送 | 板橋區滿4杯可外送 | 自取買五送一 | Line@: @423depfu,4.3,129,冰品飲料店,新北市板橋區文化路一段343號1樓,25.02092,121.4664961,78,14,126,3,1,4,0,13,6,24,1
微甜茶品,4.5,22,冰品飲料店,新北市板橋區裕民街8號,25.0292351,121.462286,53,1,84,1,0,2,1,17,5,19,0
李記紅茶冰-新莊化成店,4.1,36,冰品飲料店,新北市新莊區化成路84路號,25.0437569,121.4653734,52,6,43,3,0,3,0,9,2,5,0
紅茶洋行 土城廣明店,3.1,12,無酒精飲料店,新北市土城區廣明街79號,24.9940135,121.4547903,66,4,63,2,0,1,0,14,3,12,0
50嵐 土城頂埔店,3.0,146,珍珠奶茶,新北市土城區中央路四段284號,24.9564607,121.4143336,16,0,13,0,0,1,0,12,1,1,0
木昂手作（飲品專賣）板橋重慶店,4.9,21,冰品飲料店,新北市板橋區重慶路102號,25.0057503,121.4620039,99,26,138,3,3,2,1,26,5,17,1
雅淳水果茶-板橋裕民店（不定時公休請見粉專/IG公告）,4.9,136,冰品飲料店,新北市板橋區裕民街23號,25.0288714,121.4621216,54,1,89,1,0,2,1,16,5,19,0
