name,star,comment,class,address,latitude,longitude,school_counts,drink_counts,train_counts,bus_counts,park_counts,night_market_counts,sports_facilities_counts,mrt_counts,movie_theater_counts,hospital_counts,district,neighborhood,縣市,鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,行政區_x,平勳人流,行政區_y,刊登平均,成交平均
清心福全三峽大義店,3.5,107,珍珠奶茶,新北市三峽區大義路11號,24.9437014,121.3788895,5,28,0,70,9,0,2,0,0,0,三峽區,龍學里,新北市,三峽區,龍學里,5241.0,5693877.0,1086.0,711.0,302.0,1440.0,1297.72,119.45,三峽區,2038.200813195466,三峽區,1071.0,1059.0
太元茶室 Est.2021,4.7,119,冰品飲料店,新北市三峽區國學街8號,24.9415506,121.3736498,6,64,0,83,9,0,6,0,0,0,三峽區,龍恩里,新北市,三峽區,龍恩里,2339.0,2473636.0,1058.0,635.0,267.0,1351.0,1325.52,125.34,三峽區,2038.200813195466,三峽區,1071.0,1059.0
三峽冰鎮,4.0,218,冰品飲料店,新北市三峽區民生街108號,24.93532,121.373318,7,73,0,100,13,0,2,0,0,2,三峽區,永舘里,新北市,三峽區,永舘里,2113.0,1383722.0,655.0,432.0,206.0,812.0,864.02,131.94,三峽區,2038.200813195466,三峽區,1071.0,1059.0
統一茗茶-顏選製茶所(YANXUAN)|碧螺春綠茶|蜜香紅茶|白茶冠軍|東方美人|烏龍茶|金萱|四季春|老茶|茶糖|牛軋糖|雪花餅|茶酥|茶梅|苦茶油|三峽伴手禮|茶葉禮盒|批發零售|,4.9,43,茶葉店,新北市三峽區竹崙路23號,24.922695,121.4292553,0,7,0,27,1,0,0,0,0,0,三峽區,竹崙里,新北市,三峽區,竹崙里,405.0,220888.0,545.0,343.0,163.0,563.0,897.43,164.54,三峽區,2038.200813195466,三峽區,1071.0,1059.0
Mai cha嘜ㄔㄚ、飲品專賣店,5.0,159,冰品飲料店,新北市三峽區介壽路一段6號黃昏市場鍾予原味旁,24.9334478,121.3745244,8,65,0,101,14,0,2,0,0,2,三峽區,礁溪里,新北市,三峽區,礁溪里,1743.0,1058019.0,607.0,423.0,214.0,779.0,620.42,102.21,三峽區,2038.200813195466,三峽區,1071.0,1059.0
好了啦紅茶冰-三峽大同,3.0,1,冰品飲料店,新北市三峽區大同路69號,24.9272751,121.375194,4,41,0,74,9,0,0,0,0,2,三峽區,中正里,台北市,松山區,中正里,3425.0,5369060.0,1568.0,842.0,344.0,1900.0,2415.98,154.12,三峽區,2038.200813195466,三峽區,1071.0,1059.0
好了啦紅茶冰-三峽大同,3.0,1,冰品飲料店,新北市三峽區大同路69號,24.9272751,121.375194,4,41,0,74,9,0,0,0,0,2,三峽區,中正里,新北市,三重區,中正里,383.0,237977.0,621.0,423.0,211.0,760.0,777.58,125.14,三峽區,2038.200813195466,三峽區,1071.0,1059.0
好了啦紅茶冰-三峽大同,3.0,1,冰品飲料店,新北市三峽區大同路69號,24.9272751,121.375194,4,41,0,74,9,0,0,0,0,2,三峽區,中正里,新北市,新店區,中正里,1987.0,1760949.0,886.0,542.0,256.0,1066.0,1167.38,131.72,三峽區,2038.200813195466,三峽區,1071.0,1059.0
好了啦紅茶冰-三峽大同,3.0,1,冰品飲料店,新北市三峽區大同路69號,24.9272751,121.375194,4,41,0,74,9,0,0,0,0,2,三峽區,中正里,新北市,板橋區,中正里,2114.0,1795601.0,849.0,586.0,288.0,1130.0,907.94,106.89,三峽區,2038.200813195466,三峽區,1071.0,1059.0
好了啦紅茶冰-三峽大同,3.0,1,冰品飲料店,新北市三峽區大同路69號,24.9272751,121.375194,4,41,0,74,9,0,0,0,0,2,三峽區,中正里,新北市,三峽區,中正里,1309.0,686956.0,525.0,363.0,196.0,682.0,545.46,103.94,三峽區,2038.200813195466,三峽區,1071.0,1059.0
好了啦紅茶冰-三峽大同,3.0,1,冰品飲料店,新北市三峽區大同路69號,24.9272751,121.375194,4,41,0,74,9,0,0,0,0,2,三峽區,中正里,新北市,中和區,中正里,1079.0,658102.0,610.0,403.0,206.0,781.0,736.57,120.77,三峽區,2038.200813195466,三峽區,1071.0,1059.0
